epoch,val_loss,val_accuracy,train_loss_avg
0,0.7372919917106628,0.484375,
1,0.7339218854904175,0.484375,0.7611816078424454
2,0.7306681275367737,0.484375,0.7574618309736252
3,0.7273955941200256,0.484375,0.7537678331136703
4,0.7239069938659668,0.484375,0.7499988973140717
5,0.7202131748199463,0.484375,0.745961531996727
6,0.7163233757019043,0.484375,0.741766944527626
7,0.7120954990386963,0.484375,0.7373636811971664
8,0.7072709798812866,0.484375,0.7322883605957031
9,0.7018624544143677,0.484375,0.7260789424180984
10,0.6960457563400269,0.484375,0.7192625999450684
11,0.6896396279335022,0.484375,0.7118390947580338
12,0.6830368041992188,0.484375,0.7043381184339523
13,0.6762440800666809,0.4921875,0.696506679058075
14,0.6688669323921204,0.49609375,0.6880497485399246
15,0.6613106727600098,0.5078125,0.6790597885847092
16,0.6538273096084595,0.53125,0.6701200902462006
17,0.6464736461639404,0.5546875,0.6613179445266724
18,0.6392303109169006,0.5859375,0.6527260690927505
19,0.6321740746498108,0.6640625,0.644310250878334
20,0.6253186464309692,0.69140625,0.6362345814704895
21,0.6186490058898926,0.7421875,0.628488078713417
