epoch,val_loss,val_accuracy,train_loss_avg
0,0.6470693349838257,0.57421875,
1,0.6430535316467285,0.578125,0.662269115447998
2,0.639247715473175,0.578125,0.6580545753240585
3,0.6357370615005493,0.58203125,0.6542155593633652
4,0.6324002742767334,0.5859375,0.6506583243608475
5,0.6291196346282959,0.5859375,0.6471293419599533
6,0.6259599924087524,0.58984375,0.6437690556049347
7,0.6228053569793701,0.59765625,0.6404872685670853
8,0.6196620464324951,0.60546875,0.6372362077236176
9,0.6165440082550049,0.62109375,0.6339635699987411
10,0.6134465932846069,0.63671875,0.6307265609502792
11,0.6103488802909851,0.64453125,0.6274722814559937
12,0.6072577238082886,0.6484375,0.6243075728416443
13,0.604137122631073,0.66015625,0.6211065649986267
14,0.6009561419487,0.671875,0.61781807243824
15,0.5977739095687866,0.6875,0.6145686060190201
16,0.5945805311203003,0.6875,0.6113548278808594
17,0.5913498401641846,0.7109375,0.6081597656011581
18,0.5879530906677246,0.7109375,0.6049464195966721
19,0.5845522880554199,0.7265625,0.6014350801706314
20,0.5811249017715454,0.7265625,0.5980360358953476
21,0.5776385068893433,0.734375,0.5945790559053421
