epoch,val_loss,val_accuracy,train_loss_avg
0,0.7508277893066406,0.48046875,
1,0.7421523332595825,0.4921875,0.7435727268457413
2,0.7336727380752563,0.50390625,0.7348077893257141
3,0.7253729701042175,0.50390625,0.7261886894702911
4,0.7171996831893921,0.50390625,0.7178391069173813
5,0.7091238498687744,0.5078125,0.7096041291952133
6,0.7011768221855164,0.515625,0.70152647793293
7,0.6933810710906982,0.51953125,0.6935787200927734
8,0.6856505870819092,0.5234375,0.6857679933309555
9,0.678034782409668,0.5390625,0.6780118048191071
10,0.6705775260925293,0.546875,0.6704455018043518
11,0.6632561683654785,0.55859375,0.6629985123872757
12,0.6561026573181152,0.58203125,0.655735120177269
13,0.6489930152893066,0.59375,0.6485904604196548
14,0.6420598030090332,0.59765625,0.6416215300559998
15,0.6353027820587158,0.63671875,0.6347575783729553
16,0.6286890506744385,0.671875,0.6281832456588745
17,0.622184157371521,0.6953125,0.6217944920063019
18,0.6158769130706787,0.71875,0.6156471818685532
19,0.6097240447998047,0.75,0.609506756067276
20,0.6036728620529175,0.78125,0.6036039888858795
21,0.5977177023887634,0.79296875,0.5977078080177307
