epoch,val_loss,val_accuracy,train_loss_avg
0,0.6349133253097534,0.60546875,
1,0.629180908203125,0.609375,0.6438349336385727
2,0.6236917972564697,0.6171875,0.6379540115594864
3,0.6184136867523193,0.62109375,0.6322629153728485
4,0.6133632659912109,0.62109375,0.6268361061811447
5,0.6084327101707458,0.62890625,0.6215896755456924
6,0.603620171546936,0.64453125,0.6164192706346512
7,0.5989692807197571,0.64453125,0.6113772988319397
8,0.5945022702217102,0.65625,0.6064373105764389
9,0.5901344418525696,0.66015625,0.6017026007175446
10,0.5858782529830933,0.67578125,0.5970754027366638
11,0.5817592740058899,0.6875,0.5924002379179001
12,0.5777420997619629,0.6953125,0.5879485458135605
13,0.5738089680671692,0.6953125,0.583535298705101
14,0.5699368119239807,0.703125,0.5792554765939713
15,0.5661401748657227,0.71484375,0.5749599188566208
16,0.5624281167984009,0.72265625,0.5708455592393875
17,0.5587530136108398,0.7265625,0.5668082237243652
18,0.555148720741272,0.7265625,0.5628001391887665
19,0.5515609979629517,0.734375,0.5589091330766678
20,0.5480023622512817,0.73828125,0.5550471246242523
21,0.5445057153701782,0.75,0.5511936098337173
